RequestID,OrganisationEntered,DepartmentID,RequestType,RequestedDateText,CompletedDateText,CostGBP,Channel
CH-01-00001,Unregistered Partner 04,D033,Product return,01/31/2026,,203.20,Web
CH-01-00002,Adventure Works Research 011,D111,Technical support,01/15/2026,01/18/2026,448.50,Email
CH-01-00003,Fabrikam Logistics 018,D092,Technical support,01/02/2026,01/08/2026,811.10,Email
CH-01-00004,Contoso Analytics 025,D020,Product return,01/29/2026,01/31/2026,551.20,Web
CH-01-00005,Northwind Services 032,D043,Warranty claim,01/05/2026,01/07/2026,416.50,Web
CH-01-00006,Adventure Works Retial 039,D048,Warranty claim,01/05/2026,01/17/2026,837.90,Web
CH-01-00007,Fabrikam Digital 046,D079,Technical support,01/15/2026,01/26/2026,225.30,Email
CH-01-00008,Contoso Research 053,D024,Warranty claim,01/05/2026,01/15/2026,366.70,Email
CH-01-00009,Northwind Logistics 060,D104,Product return,01/05/2026,01/15/2026,119.30,Email
CH-01-00010,Adventure Works Analytics 067,D017,Account access,01/26/2026,02/01/2026,582.80,Web
CH-01-00011,Fabrikam Srvcs 074,D109,Warranty claim,01/17/2026,01/28/2026,846.50,Phone
CH-01-00012,Contoso Retail 081,D106,Warranty claim,01/03/2026,01/11/2026,660.20,Phone
CH-01-00013,Northwind Digital 088,D037,Product return,01/07/2026,01/10/2026,335.20,Phone
CH-01-00014,Adventure Works Research 095,D093,Product return,01/24/2026,01/28/2026,743.90,Phone
CH-01-00015,Fabrikam Logistics 102,D011,Warranty claim,01/09/2026,01/16/2026,185.10,Phone
CH-01-00016,Contoso Analytcs 109,D033,Product return,01/08/2026,01/09/2026,686.30,Phone
CH-01-00017,Northwind Services 116,D029,Delivery enquiry,01/11/2026,01/14/2026,794.30,Web
CH-01-00018,Adventure Works Retail 123,D026,Product return,01/17/2026,01/20/2026,567.40,Phone
CH-01-00019,Fabrikam Digital 130,D044,Technical support,01/01/2026,01/02/2026,757.70,Email
CH-01-00020,Contoso Research 137,D091,Technical support,01/28/2026,,412.80,Email
CH-01-00021,Northwind Logistics 144,D009,Product return,01/08/2026,01/13/2026,521.80,Phone
CH-01-00022,Adventure Works Analytics 151,D065,Product return,01/07/2026,01/13/2026,331.30,Phone
CH-01-00023,Fabrikam Services 158,D056,Product return,01/27/2026,01/30/2026,839.00,Phone
CH-01-00024,Contoso Retail 165,D005,Warranty claim,01/08/2026,01/16/2026,601.70,Web
CH-01-00025,Northwind Digital 172,D077,Warranty claim,01/03/2026,01/09/2026,419.10,Web
CH-01-00026,Adventure Works Research 179,D058,Product return,01/21/2026,02/01/2026,254.20,Email
CH-01-00027,Fabrikam Logistics 186,D071,Technical support,01/27/2026,02/05/2026,647.90,Phone
CH-01-00028,Contoso Analytics 193,D059,Technical support,01/27/2026,02/02/2026,771.00,Email
