RequestType,RequestID,RequestedDateText,OrganisationEntered,Cost_GBP,DepartmentID,Priority,CompletedDateText
Warranty claim,CH-03-00001,2026-03-09,Unregistered Partner 10,652.50,D079,High,
Warranty claim,CH-03-00002,2026-03-29,Contoso Research 017,613.80,D046,Normal,2026-04-04
Account access,CH-03-00003,2026-03-06,Northwind Logistics 024,263.40,D010,High,2026-03-13
Product return,CH-03-00004,2026-03-12,Adventure Works Analytics 031,528.90,D018,Normal,2026-03-17
Warranty claim,CH-03-00005,2026-03-28,Fabrikam Services 038,786.30,D039,High,2026-04-06
Technical support,CH-03-00006,2026-03-14,Contoso Retial 045,472.60,D023,High,2026-03-25
Account access,CH-03-00007,2026-03-03,Northwind Digital 052,56.40,D048,High,2026-03-10
Technical support,CH-03-00008,2026-03-08,Adventure Works Research 059,162.20,D020,High,2026-03-15
Account access,CH-03-00009,2026-03-22,Fabrikam Logistics 066,815.80,D104,Normal,2026-04-03
Delivery enquiry,CH-03-00010,2026-03-13,Contoso Analytics 073,613.40,D008,High,2026-03-20
Warranty claim,CH-03-00011,2026-03-07,Northwind Srvcs 080,780.80,D069,High,2026-03-14
Product return,CH-03-00012,2026-03-21,Adventure Works Retail 087,41.50,D030,Normal,2026-03-25
Technical support,CH-03-00013,2026-03-16,Fabrikam Digital 094,462.70,D031,Normal,2026-03-23
Warranty claim,CH-03-00014,2026-03-04,Contoso Research 101,608.80,D038,High,2026-03-10
Technical support,CH-03-00015,2026-03-04,Northwind Logistics 108,597.30,D027,Normal,2026-03-14
Product return,CH-03-00016,2026-03-15,Adventure Works Analytcs 115,193.00,D065,High,2026-03-24
Account access,CH-03-00017,2026-03-18,Fabrikam Services 122,118.20,D063,Normal,2026-03-23
Technical support,CH-03-00018,2026-03-15,Contoso Retail 129,328.30,D085,Normal,2026-03-27
Product return,CH-03-00019,2026-03-29,Northwind Digital 136,740.30,D109,Normal,2026-03-31
Product return,CH-03-00020,2026-03-25,Adventure Works Research 143,309.60,D073,Normal,
Account access,CH-03-00021,2026-03-02,Fabrikam Logistics 150,312.40,D034,Normal,2026-03-10
Account access,CH-03-00022,2026-03-24,Contoso Analytics 157,484.30,D028,Normal,2026-03-27
Product return,CH-03-00023,2026-03-24,Northwind Services 164,656.70,D005,Normal,2026-04-04
Account access,CH-03-00024,2026-03-23,Adventure Works Retail 171,534.20,D104,Normal,2026-04-03
Delivery enquiry,CH-03-00025,2026-03-01,Fabrikam Digital 178,358.80,D015,Normal,2026-03-07
Technical support,CH-03-00026,2026-03-08,Contoso Research 185,720.20,D048,Normal,2026-03-18
Warranty claim,CH-03-00027,2026-03-01,Northwind Logistics 192,212.00,D069,Normal,2026-03-13
Technical support,CH-03-00028,2026-03-15,Adventure Works Analytics 199,745.20,D098,High,2026-03-17
Account access,CH-03-00029,2026-03-13,Fabrikam Services 206,528.30,D062,Normal,2026-03-23
Delivery enquiry,CH-03-00030,2026-03-05,Contoso Retail 213,237.00,D031,Normal,2026-03-11
Account access,CH-03-00031,2026-03-11,Northwind Digitl 220,552.20,D109,Normal,2026-03-21
Technical support,CH-03-00032,2026-03-11,Unregistered Partner 07,344.60,D106,High,2026-03-13
Technical support,CH-03-00033,2026-03-03,Fabrikam Services 014,125.50,D003,High,2026-03-14
Warranty claim,CH-03-00034,2026-03-29,Contoso Retail 021,77.30,D063,High,2026-04-05
Warranty claim,CH-03-00035,2026-03-03,Northwind Digital 028,806.10,D096,High,2026-03-10
Account access,CH-03-00036,2026-03-31,Adventure Works Research 035,108.30,D015,High,2026-04-04
Product return,CH-03-00037,2026-03-13,Fabrikam Logistics 042,566.50,D007,High,2026-03-23
Technical support,CH-03-00038,2026-03-25,Contoso Analytics 049,112.00,D018,High,2026-03-27
Account access,CH-03-00039,2026-03-20,Northwind Services 056,543.80,D072,Normal,
Product return,CH-03-00040,2026-03-11,Adventure Works Retail 063,15.30,D074,Normal,2026-03-13
Product return,CH-03-00041,2026-03-15,Fabrikam Digitl 070,536.50,D040,High,2026-03-20
Technical support,CH-03-00042,2026-03-04,Contoso Research 077,447.70,D084,High,2026-03-14
Account access,CH-03-00043,2026-03-11,Northwind Logistics 084,41.10,D026,High,2026-03-17
Technical support,CH-03-00044,2026-03-18,Adventure Works Analytics 091,204.20,D022,High,2026-03-30
Account access,CH-03-00045,2026-03-13,Fabrikam Services 098,782.70,D046,High,2026-03-25
Product return,CH-03-00046,2026-03-15,Contoso Retial 105,849.80,D112,Normal,2026-03-27
Product return,CH-03-00047,2026-03-30,Northwind Digital 112,197.10,D027,Normal,2026-04-02
Warranty claim,CH-03-00048,2026-03-05,Adventure Works Research 119,444.50,D042,Normal,2026-03-07
Account access,CH-03-00049,2026-03-27,Fabrikam Logistics 126,107.50,D017,Normal,2026-03-29
Account access,CH-03-00050,2026-03-23,Contoso Analytics 133,442.80,D073,Normal,2026-04-01
Delivery enquiry,CH-03-00051,2026-03-10,Northwind Srvcs 140,336.40,D041,High,2026-03-13
Technical support,CH-03-00052,2026-03-22,Adventure Works Retail 147,55.20,D002,Normal,2026-03-26
Account access,CH-03-00053,2026-03-15,Fabrikam Digital 154,193.50,D079,High,2026-03-21
Delivery enquiry,CH-03-00054,2026-03-16,Contoso Research 161,693.00,D031,High,2026-03-28
Warranty claim,CH-03-00055,2026-03-14,Northwind Logistics 168,684.90,D047,Normal,2026-03-19
Technical support,CH-03-00056,2026-03-04,Adventure Works Analytcs 175,359.30,D029,High,2026-03-12
Warranty claim,CH-03-00057,2026-03-08,Fabrikam Services 182,796.80,D056,High,2026-03-09
Delivery enquiry,CH-03-00058,2026-03-29,Contoso Retail 189,366.20,D014,High,
Account access,CH-03-00059,2026-03-18,Northwind Digital 196,743.10,D056,High,2026-03-22
Warranty claim,CH-03-00060,2026-03-07,Adventure Works Research 203,767.20,D002,High,2026-03-15
Warranty claim,CH-03-00061,2026-03-05,Fabrikam Logistics 210,760.40,D050,Normal,2026-03-15
Warranty claim,CH-03-00062,2026-03-29,Contoso Analytics 217,744.60,D088,Normal,2026-04-02
Delivery enquiry,CH-03-00063,2026-03-31,Unregistered Partner 04,463.70,D072,High,2026-04-11
Product return,CH-03-00064,2026-03-31,Adventure Works Research 011,368.80,D093,High,2026-04-04
