RespondentID,SurveyDate,CustomerSegment,Region,EaseOfPurchase,ProductQuality,DeliveryExperience,SupportExperience,ValueForMoney,LikelihoodToRecommend
R-0001,2026-06-05,Small Business,East,3,4,,,1,9
R-0002,2026-03-02,Small Business,South,1,5,4,1,1,3
R-0003,2026-02-18,Consumer,East,4,4,2,1,2,6
R-0004,2026-02-03,Consumer,East,1,1,5,4,2,3
R-0005,2026-05-03,Small Business,North,4,2,5,4,2,4
R-0006,2026-04-09,Consumer,West,2,1,2,1,2,9
R-0007,2026-03-16,Small Business,North,2,5,1,2,1,4
R-0008,2026-04-25,Small Business,East,2,3,2,4,5,10
R-0009,2026-06-07,Consumer,Central,4,3,4,5,1,4
R-0010,2026-01-20,Enterprise,West,3,1,2,,1,0
R-0011,2026-02-18,Consumer,East,5,5,4,3,2,5
R-0012,2026-06-26,Small Business,East,3,5,2,4,2,6
R-0013,2026-05-21,Consumer,Central,2,1,3,2,1,0
R-0014,2026-03-26,Small Business,West,4,3,,2,5,0
R-0015,2026-06-10,Consumer,Central,5,1,1,3,4,4
R-0016,2026-04-19,Small Business,West,3,4,3,2,5,7
R-0017,2026-05-05,Consumer,North,4,4,5,3,5,1
R-0018,2026-02-17,Enterprise,West,5,5,4,4,1,7
R-0019,2026-01-24,Small Business,East,4,3,5,,4,4
R-0020,2026-02-02,Enterprise,East,4,2,3,1,5,5
R-0021,2026-02-12,Small Business,West,1,5,3,4,5,2
R-0022,2026-01-26,Small Business,Central,2,1,2,5,5,9
R-0023,2026-05-11,Consumer,West,2,2,2,2,3,5
R-0024,2026-06-28,Enterprise,East,4,1,5,5,3,3
R-0025,2026-05-18,Consumer,South,4,3,1,4,4,8
R-0026,2026-03-14,Consumer,East,4,3,2,5,5,8
R-0027,2026-03-06,Small Business,South,5,5,,3,5,10
R-0028,2026-02-08,Small Business,Central,1,5,1,,1,2
R-0029,2026-02-05,Consumer,North,3,1,3,1,5,9
R-0030,2026-02-17,Enterprise,West,4,3,4,1,1,4
R-0031,2026-02-03,Enterprise,North,5,4,3,4,1,3
R-0032,2026-03-27,Consumer,North,4,4,3,5,1,10
R-0033,2026-01-08,Enterprise,Central,4,4,4,1,2,2
R-0034,2026-01-01,Consumer,South,4,4,4,3,4,0
R-0035,2026-05-11,Consumer,West,1,2,5,2,1,0
R-0036,2026-03-26,Consumer,West,4,3,3,2,2,2
R-0037,2026-05-01,Enterprise,South,3,4,3,,5,4
R-0038,2026-05-04,Consumer,Central,4,1,1,5,1,5
R-0039,2026-06-14,Enterprise,Central,3,4,5,1,1,9
R-0040,2026-04-04,Consumer,North,2,1,,4,5,7
R-0041,2026-05-22,Enterprise,Central,5,5,2,2,1,8
R-0042,2026-01-17,Enterprise,Central,3,4,5,3,1,8
R-0043,2026-06-07,Small Business,North,1,3,4,3,3,10
R-0044,2026-03-22,Small Business,West,5,1,2,2,1,6
R-0045,2026-02-28,Enterprise,West,1,5,4,4,2,8
R-0046,2026-05-21,Enterprise,Central,5,5,3,,3,10
R-0047,2026-01-19,Small Business,South,1,1,1,1,1,4
R-0048,2026-03-06,Enterprise,South,1,4,2,4,2,4
R-0049,2026-04-04,Small Business,Central,3,4,5,1,4,4
R-0050,2026-03-17,Small Business,North,1,3,4,2,1,1
R-0051,2026-01-11,Enterprise,West,4,2,1,2,4,1
R-0052,2026-04-10,Small Business,North,5,5,5,3,3,8
R-0053,2026-05-08,Consumer,West,3,1,,4,2,8
R-0054,2026-05-06,Enterprise,East,4,2,3,3,5,9
R-0055,2026-01-04,Enterprise,Central,1,1,4,,3,3
R-0056,2026-02-21,Small Business,West,2,3,2,3,4,9
R-0057,2026-02-16,Enterprise,West,1,3,3,4,4,8
R-0058,2026-04-08,Enterprise,North,5,1,4,2,5,10
R-0059,2026-06-23,Consumer,East,5,5,1,4,3,8
R-0060,2026-01-08,Small Business,East,3,5,3,4,2,4
R-0061,2026-05-16,Small Business,West,1,5,4,3,3,6
R-0062,2026-03-12,Small Business,East,5,1,2,4,4,9
R-0063,2026-03-05,Small Business,Central,4,1,4,5,5,7
R-0064,2026-02-24,Enterprise,Central,5,3,3,,1,3
R-0065,2026-02-25,Small Business,Central,4,4,5,5,2,8
R-0066,2026-03-09,Enterprise,North,4,3,,1,4,9
R-0067,2026-05-28,Consumer,Central,2,1,4,4,2,1
R-0068,2026-03-23,Consumer,North,4,4,3,3,2,4
R-0069,2026-06-10,Enterprise,West,1,3,5,1,5,10
R-0070,2026-02-17,Small Business,Central,5,1,4,5,4,4
R-0071,2026-02-05,Enterprise,Central,2,2,2,5,4,5
R-0072,2026-03-24,Enterprise,East,4,2,2,3,2,5
R-0073,2026-01-27,Consumer,West,5,5,3,,2,3
R-0074,2026-06-03,Enterprise,East,4,3,3,4,4,0
R-0075,2026-06-21,Consumer,West,4,1,5,1,1,6
R-0076,2026-04-14,Consumer,West,5,5,1,2,3,10
R-0077,2026-06-09,Enterprise,North,3,5,1,5,4,7
R-0078,2026-02-12,Consumer,Central,1,5,5,5,4,7
R-0079,2026-02-21,Enterprise,West,1,2,,1,5,3
R-0080,2026-06-22,Enterprise,South,3,1,1,1,4,0
R-0081,2026-01-08,Consumer,North,4,3,4,5,5,6
R-0082,2026-02-17,Consumer,East,4,2,4,,5,6
R-0083,2026-01-24,Small Business,East,3,4,3,5,1,8
R-0084,2026-01-05,Consumer,Central,4,4,2,3,4,8
R-0085,2026-06-14,Small Business,West,4,5,4,5,3,2
R-0086,2026-06-19,Enterprise,North,4,4,4,5,1,3
R-0087,2026-03-15,Small Business,Central,3,4,3,5,1,5
R-0088,2026-04-10,Enterprise,South,4,5,4,2,5,5
R-0089,2026-04-25,Small Business,North,4,4,2,5,5,8
R-0090,2026-01-13,Small Business,Central,4,3,5,3,3,10
R-0091,2026-05-16,Enterprise,North,1,3,4,,1,0
R-0092,2026-06-28,Consumer,North,1,3,,5,2,9
R-0093,2026-04-21,Consumer,North,3,2,2,5,4,2
R-0094,2026-02-25,Enterprise,North,3,1,1,4,4,4
R-0095,2026-03-04,Small Business,Central,5,4,5,5,4,10
R-0096,2026-02-01,Enterprise,North,5,1,3,2,1,0
R-0097,2026-05-28,Consumer,East,5,5,4,3,2,4
R-0098,2026-04-26,Enterprise,North,1,2,5,1,4,7
R-0099,2026-05-25,Enterprise,West,3,3,2,1,1,2
R-0100,2026-06-08,Small Business,South,5,1,1,,2,10
R-0101,2026-02-07,Consumer,North,2,1,5,2,1,6
R-0102,2026-05-18,Enterprise,West,2,5,5,3,5,6
R-0103,2026-05-28,Enterprise,East,3,3,3,1,3,8
R-0104,2026-04-12,Enterprise,West,5,2,3,4,1,5
R-0105,2026-06-06,Enterprise,East,4,5,,1,4,9
R-0106,2026-04-24,Small Business,East,2,3,4,5,3,7
R-0107,2026-01-11,Small Business,West,5,4,4,3,3,8
R-0108,2026-04-26,Small Business,Central,4,5,1,1,3,6
R-0109,2026-04-19,Enterprise,North,1,2,3,,4,7
R-0110,2026-04-24,Small Business,South,1,3,1,5,4,8
R-0111,2026-03-16,Enterprise,West,5,2,2,2,1,2
R-0112,2026-06-25,Small Business,Central,3,4,4,4,3,4
R-0113,2026-02-03,Small Business,West,3,1,1,4,3,10
R-0114,2026-05-04,Small Business,Central,3,3,3,4,4,9
R-0115,2026-03-24,Enterprise,West,2,4,4,4,4,7
R-0116,2026-04-20,Consumer,Central,1,2,4,1,2,6
R-0117,2026-06-22,Small Business,South,5,3,1,2,5,7
R-0118,2026-04-16,Enterprise,South,3,4,,,3,6
R-0119,2026-04-01,Small Business,North,2,5,2,5,3,0
R-0120,2026-05-03,Small Business,Central,2,3,4,4,1,2
R-0121,2026-01-13,Consumer,East,4,3,5,5,2,0
R-0122,2026-03-28,Enterprise,North,4,1,2,2,4,5
R-0123,2026-04-09,Small Business,Central,4,4,4,3,4,7
R-0124,2026-06-08,Small Business,East,3,1,4,4,2,10
R-0125,2026-01-25,Small Business,East,3,3,5,3,4,8
R-0126,2026-04-02,Small Business,East,1,4,3,2,4,8
R-0127,2026-03-19,Enterprise,Central,2,2,4,,4,2
R-0128,2026-03-24,Consumer,North,2,1,2,4,4,1
R-0129,2026-03-19,Consumer,South,2,3,5,3,2,1
R-0130,2026-02-09,Small Business,Central,1,3,2,2,2,8
R-0131,2026-03-12,Enterprise,East,2,1,,4,2,7
R-0132,2026-06-27,Small Business,Central,2,1,1,5,5,0
R-0133,2026-02-18,Enterprise,North,1,2,3,3,3,4
R-0134,2026-02-14,Enterprise,West,1,4,4,1,4,9
R-0135,2026-03-21,Consumer,West,3,3,2,4,5,7
R-0136,2026-01-09,Enterprise,East,1,1,5,,2,5
R-0137,2026-03-21,Small Business,East,5,3,4,1,4,7
R-0138,2026-05-15,Small Business,West,3,4,5,3,3,2
R-0139,2026-02-04,Consumer,North,1,5,1,1,3,3
R-0140,2026-06-14,Consumer,West,4,2,2,5,5,8
R-0141,2026-05-08,Small Business,Central,1,2,4,1,2,4
R-0142,2026-06-20,Small Business,West,3,2,4,5,3,2
R-0143,2026-01-02,Enterprise,East,3,2,4,1,5,4
R-0144,2026-05-05,Consumer,North,2,3,,5,1,2
R-0145,2026-06-07,Consumer,North,5,1,3,,3,2
R-0146,2026-06-19,Consumer,East,3,3,4,3,4,5
R-0147,2026-05-12,Consumer,South,4,3,1,3,5,10
R-0148,2026-05-09,Enterprise,East,3,5,2,5,1,8
R-0149,2026-05-17,Enterprise,West,4,4,4,2,3,10
R-0150,2026-03-25,Enterprise,South,2,3,2,2,5,7
R-0151,2026-05-18,Enterprise,Central,5,5,2,1,2,8
R-0152,2026-01-04,Enterprise,West,3,4,3,5,3,8
R-0153,2026-06-16,Consumer,East,5,1,3,3,2,8
R-0154,2026-05-25,Small Business,South,5,4,5,,3,8
