DepartmentID,Metric,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026
D001,Sales,228,55,254,241,61,97
D001,Returns,51,232,104,69,193,73
D001,Service,197,63,85,27,101,128
D002,Sales,135,149,88,133,253,126
D002,Returns,90,99,56,52,51,136
D002,Service,88,216,87,148,29,211
D003,Sales,75,220,51,122,51,63
D003,Returns,241,155,201,236,250,112
D003,Service,243,21,235,29,254,97
D004,Sales,88,132,206,182,41,81
D004,Returns,130,161,32,144,241,45
D004,Service,52,36,160,172,201,113
D005,Sales,59,237,134,62,103,150
D005,Returns,119,133,163,210,139,177
D005,Service,146,93,103,206,168,64
D006,Sales,127,35,43,169,205,153
D006,Returns,96,205,64,52,22,210
D006,Service,61,148,50,56,198,258
D007,Sales,81,171,153,179,209,162
D007,Returns,183,252,83,141,125,128
D007,Service,180,208,88,245,158,108
D008,Sales,191,228,102,186,153,86
D008,Returns,229,236,85,205,146,135
D008,Service,21,98,91,187,142,250
D009,Sales,89,130,89,127,38,145
D009,Returns,150,195,164,52,172,171
D009,Service,138,167,103,26,65,93
D010,Sales,38,179,44,36,174,55
D010,Returns,189,66,146,233,105,89
D010,Service,162,21,67,191,173,134
D011,Sales,128,132,102,254,238,188
D011,Returns,133,92,148,58,105,81
D011,Service,108,93,26,107,72,241
D012,Sales,156,226,217,110,142,206
D012,Returns,119,254,101,44,249,243
D012,Service,132,93,123,255,75,189
D013,Sales,242,184,195,138,130,222
D013,Returns,168,119,196,180,53,98
D013,Service,95,162,29,76,230,229
D014,Sales,45,134,142,98,133,60
D014,Returns,96,250,260,40,175,67
D014,Service,93,155,214,33,90,54
D015,Sales,45,137,69,260,130,167
D015,Returns,163,116,32,198,202,199
D015,Service,183,87,124,230,207,248
D016,Sales,244,206,110,239,233,226
D016,Returns,95,209,105,103,150,157
D016,Service,259,157,113,249,118,55
D017,Sales,32,174,28,97,185,149
D017,Returns,47,20,233,258,153,76
D017,Service,122,127,224,51,153,61
D018,Sales,79,152,72,243,233,257
D018,Returns,245,195,172,140,94,46
D018,Service,193,175,103,144,153,192
D019,Sales,31,179,70,203,254,52
D019,Returns,137,73,195,128,156,41
D019,Service,163,112,176,257,195,94
D020,Sales,43,154,173,213,247,27
D020,Returns,245,223,218,239,140,82
D020,Service,186,42,148,97,226,241
D021,Sales,79,169,67,234,33,165
D021,Returns,170,54,158,129,47,232
D021,Service,208,54,236,85,46,221
D022,Sales,171,179,120,32,168,20
D022,Returns,260,61,127,229,51,76
D022,Service,153,140,222,49,167,183
D023,Sales,224,156,205,121,236,155
D023,Returns,47,220,238,57,234,137
D023,Service,178,172,100,88,258,176
D024,Sales,67,171,180,214,84,102
D024,Returns,116,170,144,186,191,37
