OrganisationID,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026
O0001,5675,5510,1999,3171,2862,2095
O0002,4810,2293,2383,1748,5667,5012
O0003,6384,7417,2490,5484,3379,3093
O0004,3882,5004,6139,3640,3922,2144
O0005,5136,5905,2691,4425,6770,6959
O0006,2505,3090,3089,4821,7310,4106
O0007,3235,6489,6218,5948,6316,3643
O0008,1655,2294,6933,3846,6081,5204
O0009,6092,2601,4749,1881,1690,5095
O0010,3494,5619,6330,3986,5989,3006
O0011,3644,7069,6457,3018,1886,6163
O0012,7307,5040,2978,2074,6653,4467
O0013,6744,3960,4193,5937,3550,6963
O0014,3417,3806,6069,7429,1602,4967
O0015,4383,2580,2578,2576,6150,6976
O0016,4725,2824,7043,5592,2167,4304
O0017,2199,4886,2644,5101,6876,2679
O0018,7014,6176,2043,5197,4864,5150
O0019,4138,5118,6206,6079,3679,3969
O0020,4706,6310,4986,1723,3433,7018
O0021,4703,3919,1592,5512,6351,2177
O0022,4202,6908,1627,5431,4197,4261
O0023,6682,2727,1920,3747,3059,3944
O0024,2469,4994,6568,6258,4869,4153
O0025,2756,5715,4542,4803,5238,6743
O0026,2038,5284,2570,1953,6504,4549
O0027,4924,4069,5842,4133,7244,3334
O0028,3054,3335,5117,7235,3710,4194
O0029,3101,2885,3031,2367,4679,1922
O0030,4550,1503,4607,5246,1810,6185
O0031,5844,2452,6089,4062,6796,2308
O0032,6589,3258,2087,2102,3090,6627
O0033,5584,3225,6528,3981,3875,1810
O0034,6439,4874,1951,4798,1788,4017
O0035,6280,3245,7109,6950,2001,4240
O0036,7433,5034,6480,2258,5003,6383
O0037,6896,6310,2196,2807,5132,6709
O0038,6668,6380,4657,6828,2145,2703
O0039,3614,6660,3882,5491,5860,6556
O0040,7202,2531,3146,4954,5126,4655
O0041,3184,7467,6547,2777,5792,6163
O0042,5913,5620,4854,3377,6897,2206
O0043,5321,5913,6012,6727,3939,6958
O0044,5656,2847,3963,4580,1534,2088
O0045,3544,5123,4947,6342,7027,3368
O0046,5900,2126,1865,4791,6509,1681
O0047,7391,6759,3673,3489,3124,7022
O0048,5474,4310,1882,7331,5282,4346
O0049,6376,5528,7027,2603,3520,6962
O0050,4608,5058,2192,3559,5922,3725
O0051,1633,2405,7448,6213,7224,7171
O0052,6896,4860,1859,7236,4855,4053
O0053,4627,6851,1936,3815,2017,2174
O0054,5355,7261,6381,1541,6441,7005
O0055,5851,5791,6035,3130,3461,5018
O0056,4240,4801,2650,1571,4506,5109
O0057,1907,4655,5501,4267,2748,3374
O0058,3750,1716,6755,4563,1506,5265
O0059,2893,7251,3825,4836,1835,3097
O0060,2303,3930,7491,3645,4463,5385
O0061,3473,6746,7236,5533,3730,1969
O0062,6530,4353,2034,2392,4340,4704
O0063,4577,1551,6368,5229,7364,1953
O0064,4628,5044,3645,4958,7008,3782
O0065,6093,3387,3238,6101,3942,1699
O0066,4263,5240,4824,6083,5461,5728
O0067,6494,6297,1691,2827,3189,2619
O0068,3643,5813,6833,6736,6435,1681
O0069,4784,6909,6963,3381,5379,3289
O0070,5935,4152,5972,4697,4085,3082
O0071,1679,5718,3523,4462,4575,6464
O0072,2688,3038,2529,6842,4885,4755
O0073,4427,4671,1861,2080,1973,4491
O0074,3400,4512,3810,3409,5392,4350
O0075,5170,5831,6359,5343,3761,6408
O0076,3906,3282,6142,2061,6049,7158
O0077,6257,5416,3906,4958,3397,3488
O0078,3720,1706,2271,4971,1666,6839
O0079,5423,2973,2429,5499,3710,5532
O0080,4014,3867,2058,5764,4750,6096
O0081,5220,4992,5979,3954,3740,5684
O0082,3364,1779,1870,6563,3324,4826
O0083,4623,3713,6528,2595,2713,3042
O0084,3944,4261,1577,2935,2406,4767
O0085,4216,3444,2147,1693,3058,3862
O0086,6298,4496,1572,6016,5802,3194
O0087,3853,6133,4715,3123,1882,1618
O0088,2369,5824,3703,4588,6355,3676
O0089,3213,7498,1803,3366,3798,3719
O0090,1934,4784,5532,5409,6329,7434
O0091,5148,2493,6910,3971,5516,6141
O0092,3091,5944,2828,3550,7064,4328
O0093,5232,6394,3689,2979,6103,4778
O0094,4970,6551,4702,6044,4570,2017
O0095,6419,3265,5336,4360,2329,1782
O0096,6314,4534,7278,5619,5213,7295
O0097,3211,5123,1782,5985,1981,2669
O0098,7091,6878,5324,6791,5147,7161
O0099,7255,4542,6860,6164,5577,7485
O0100,1787,4919,2738,4104,4651,4651
O0101,1747,7014,5078,4287,4364,6796
O0102,2552,4581,2294,5808,4030,3946
O0103,1597,6822,7197,2598,2033,6806
O0104,5827,3082,4560,5731,7228,2801
O0105,1704,5714,5221,5621,3027,7362
O0106,3640,3156,5397,5648,6813,3829
O0107,5295,7171,2992,3290,1863,2140
O0108,4206,7300,6931,5928,3500,3660
O0109,1704,4530,6032,3302,3391,5791
O0110,3998,2096,4421,3720,6851,4516
O0111,4522,6758,5780,5717,3354,6321
O0112,4931,4139,2923,3489,7317,4227
O0113,4491,3155,6903,6360,4202,6505
O0114,3839,6579,5148,4147,7284,6220
O0115,5087,3763,3813,3023,4531,1587
O0116,2878,2843,3431,6606,2269,2520
O0117,4167,5766,6063,4039,4076,6086
O0118,7026,1536,4215,2981,2930,4285
O0119,2604,1662,3770,4212,1646,3937
O0120,6321,2081,6957,6280,4034,3902
O0121,2307,2492,5725,2681,6929,3812
O0122,2023,4096,4851,6806,6059,6197
O0123,5544,2891,2340,6712,4542,4844
O0124,5317,5079,4296,7105,4568,3761
O0125,4949,2269,7104,2975,2275,3568
O0126,4740,2395,7493,6704,2027,6955
O0127,3160,5878,1676,5318,2889,6360
O0128,1984,5122,6089,7432,2200,6587
O0129,6451,3058,7312,1587,4407,7130
O0130,7228,2773,5274,3611,2808,6833
O0131,4291,5451,2730,1508,3297,5587
O0132,6643,7434,3237,6898,3582,3404
O0133,2234,7442,4129,5169,6441,4823
O0134,6263,5340,2383,7037,6380,5502
O0135,3034,2628,6460,7136,5308,6522
O0136,5832,3432,4217,5342,3523,3594
O0137,6401,5599,2647,2729,5244,5559
O0138,3811,3915,7310,7156,5998,2537
O0139,3299,5777,4906,6493,6256,5282
O0140,4208,5355,5244,5086,2696,7084
O0141,2208,3653,5789,4391,7238,4248
O0142,3352,4344,6950,4291,7337,4296
O0143,6228,5145,4156,2755,5004,2703
