OrganisationID,OrganisationName,Sector,Region,AccountManagerEmployeeID
O0001,University of Oxford,Higher Education,West,E0019
O0002,University of Cambridge,Higher Education,North,E0020
O0003,Imperial College London,Higher Education,South,E0021
O0004,Oxford University Press,Higher Education,West,E0022
O0005,Contoso Oxford Trading,Retail,East,E0023
O0006,Contoso Oxford Traders,Manufacturing,East,E0024
O0007,Fabrikam Retail Group,Technology,South,E0025
O0008,Adventure Works UK,Manufacturing,East,E0026
O0009,Contoso Retail 009,Manufacturing,East,E0027
O0010,Fabrikam Digital 010,Manufacturing,North,E0028
O0011,Adventure Works Research 011,Technology,Central,E0029
O0012,Northwind Logistics 012,Professional Services,Central,E0030
O0013,Contoso Analytics 013,Technology,Central,E0031
O0014,Fabrikam Services 014,Professional Services,Central,E0032
O0015,Adventure Works Retail 015,Retail,East,E0033
O0016,Northwind Digital 016,Professional Services,North,E0034
O0017,Contoso Research 017,Technology,East,E0035
O0018,Fabrikam Logistics 018,Retail,West,E0036
O0019,Adventure Works Analytics 019,Professional Services,Central,E0037
O0020,Northwind Services 020,Manufacturing,East,E0038
O0021,Contoso Retail 021,Retail,South,E0039
O0022,Fabrikam Digital 022,Retail,Central,E0040
O0023,Adventure Works Research 023,Manufacturing,North,E0041
O0024,Northwind Logistics 024,Professional Services,East,E0042
O0025,Contoso Analytics 025,Manufacturing,South,E0043
O0026,Fabrikam Services 026,Technology,South,E0044
O0027,Adventure Works Retail 027,Professional Services,North,E0045
O0028,Northwind Digital 028,Retail,North,E0046
O0029,Contoso Research 029,Manufacturing,South,E0047
O0030,Fabrikam Logistics 030,Professional Services,North,E0048
O0031,Adventure Works Analytics 031,Manufacturing,East,E0049
O0032,Northwind Services 032,Technology,East,E0050
O0033,Contoso Retail 033,Retail,East,E0051
O0034,Fabrikam Digital 034,Technology,South,E0052
O0035,Adventure Works Research 035,Professional Services,West,E0053
O0036,Northwind Logistics 036,Retail,West,E0054
O0037,Contoso Analytics 037,Retail,North,E0055
O0038,Fabrikam Services 038,Manufacturing,East,E0056
O0039,Adventure Works Retail 039,Manufacturing,South,E0057
O0040,Northwind Digital 040,Professional Services,West,E0058
O0041,Contoso Research 041,Technology,South,E0059
O0042,Fabrikam Logistics 042,Technology,North,E0060
O0043,Adventure Works Analytics 043,Manufacturing,West,E0061
O0044,Northwind Services 044,Professional Services,South,E0062
O0045,Contoso Retail 045,Retail,West,E0063
O0046,Fabrikam Digital 046,Technology,West,E0064
O0047,Adventure Works Research 047,Manufacturing,North,E0065
O0048,Northwind Logistics 048,Technology,North,E0066
O0049,Contoso Analytics 049,Manufacturing,Central,E0067
O0050,Fabrikam Services 050,Retail,West,E0068
O0051,Adventure Works Retail 051,Technology,North,E0069
O0052,Northwind Digital 052,Professional Services,South,E0070
O0053,Contoso Research 053,Retail,West,E0071
O0054,Fabrikam Logistics 054,Retail,North,E0072
O0055,Adventure Works Analytics 055,Manufacturing,South,E0073
O0056,Northwind Services 056,Professional Services,West,E0074
O0057,Contoso Retail 057,Professional Services,West,E0075
O0058,Fabrikam Digital 058,Technology,South,E0076
O0059,Adventure Works Research 059,Professional Services,South,E0077
O0060,Northwind Logistics 060,Professional Services,Central,E0078
O0061,Contoso Analytics 061,Professional Services,West,E0079
O0062,Fabrikam Services 062,Technology,East,E0080
O0063,Adventure Works Retail 063,Professional Services,West,E0081
O0064,Northwind Digital 064,Manufacturing,East,E0082
O0065,Contoso Research 065,Manufacturing,Central,E0083
O0066,Fabrikam Logistics 066,Technology,West,E0084
O0067,Adventure Works Analytics 067,Retail,Central,E0085
O0068,Northwind Services 068,Manufacturing,West,E0086
O0069,Contoso Retail 069,Technology,Central,E0087
O0070,Fabrikam Digital 070,Retail,South,E0088
O0071,Adventure Works Research 071,Technology,North,E0089
O0072,Northwind Logistics 072,Professional Services,West,E0090
O0073,Contoso Analytics 073,Technology,East,E0091
O0074,Fabrikam Services 074,Retail,South,E0092
O0075,Adventure Works Retail 075,Professional Services,East,E0093
O0076,Northwind Digital 076,Manufacturing,West,E0094
O0077,Contoso Research 077,Technology,West,E0095
O0078,Fabrikam Logistics 078,Professional Services,East,E0096
O0079,Adventure Works Analytics 079,Retail,West,E0097
O0080,Northwind Services 080,Retail,East,E0098
O0081,Contoso Retail 081,Manufacturing,West,E0099
O0082,Fabrikam Digital 082,Retail,West,E0100
O0083,Adventure Works Research 083,Technology,Central,E0101
O0084,Northwind Logistics 084,Professional Services,East,E0102
O0085,Contoso Analytics 085,Technology,South,E0103
O0086,Fabrikam Services 086,Retail,East,E0104
O0087,Adventure Works Retail 087,Technology,North,E0105
O0088,Northwind Digital 088,Manufacturing,North,E0106
O0089,Contoso Research 089,Technology,East,E0107
O0090,Fabrikam Logistics 090,Professional Services,North,E0108
O0091,Adventure Works Analytics 091,Professional Services,North,E0109
O0092,Northwind Services 092,Retail,North,E0110
O0093,Contoso Retail 093,Technology,Central,E0111
O0094,Fabrikam Digital 094,Technology,South,E0112
O0095,Adventure Works Research 095,Manufacturing,Central,E0113
O0096,Northwind Logistics 096,Professional Services,East,E0114
O0097,Contoso Analytics 097,Manufacturing,West,E0115
O0098,Fabrikam Services 098,Retail,South,E0116
O0099,Adventure Works Retail 099,Technology,Central,E0117
O0100,Northwind Digital 100,Professional Services,South,E0118
O0101,Contoso Research 101,Technology,South,E0119
O0102,Fabrikam Logistics 102,Professional Services,East,E0120
O0103,Adventure Works Analytics 103,Retail,South,E0121
O0104,Northwind Services 104,Professional Services,North,E0122
O0105,Contoso Retail 105,Manufacturing,West,E0123
O0106,Fabrikam Digital 106,Technology,West,E0124
O0107,Adventure Works Research 107,Technology,South,E0125
O0108,Northwind Logistics 108,Retail,South,E0126
O0109,Contoso Analytics 109,Manufacturing,East,E0127
O0110,Fabrikam Services 110,Manufacturing,West,E0128
O0111,Adventure Works Retail 111,Professional Services,East,E0129
O0112,Northwind Digital 112,Manufacturing,East,E0130
O0113,Contoso Research 113,Professional Services,East,E0131
O0114,Fabrikam Logistics 114,Professional Services,North,E0132
O0115,Adventure Works Analytics 115,Retail,West,E0133
O0116,Northwind Services 116,Manufacturing,Central,E0134
O0117,Contoso Retail 117,Retail,North,E0135
O0118,Fabrikam Digital 118,Manufacturing,South,E0136
O0119,Adventure Works Research 119,Professional Services,West,E0137
O0120,Northwind Logistics 120,Manufacturing,South,E0138
O0121,Contoso Analytics 121,Retail,Central,E0139
O0122,Fabrikam Services 122,Retail,North,E0140
O0123,Adventure Works Retail 123,Manufacturing,West,E0141
O0124,Northwind Digital 124,Professional Services,East,E0142
O0125,Contoso Research 125,Professional Services,South,E0143
O0126,Fabrikam Logistics 126,Manufacturing,South,E0144
O0127,Adventure Works Analytics 127,Professional Services,West,E0145
O0128,Northwind Services 128,Manufacturing,South,E0146
O0129,Contoso Retail 129,Professional Services,East,E0147
O0130,Fabrikam Digital 130,Professional Services,East,E0148
O0131,Adventure Works Research 131,Professional Services,West,E0149
O0132,Northwind Logistics 132,Technology,West,E0150
O0133,Contoso Analytics 133,Manufacturing,West,E0151
O0134,Fabrikam Services 134,Professional Services,West,E0152
O0135,Adventure Works Retail 135,Technology,North,E0153
O0136,Northwind Digital 136,Manufacturing,Central,E0154
O0137,Contoso Research 137,Retail,North,E0155
O0138,Fabrikam Logistics 138,Manufacturing,East,E0156
O0139,Adventure Works Analytics 139,Technology,West,E0157
O0140,Northwind Services 140,Retail,Central,E0158
O0141,Contoso Retail 141,Retail,Central,E0159
O0142,Fabrikam Digital 142,Technology,West,E0160
O0143,Adventure Works Research 143,Technology,East,E0161
O0144,Northwind Logistics 144,Technology,North,E0162
O0145,Contoso Analytics 145,Professional Services,South,E0163
O0146,Fabrikam Services 146,Technology,North,E0164
O0147,Adventure Works Retail 147,Retail,East,E0165
O0148,Northwind Digital 148,Professional Services,West,E0166
O0149,Contoso Research 149,Technology,Central,E0167
O0150,Fabrikam Logistics 150,Retail,Central,E0168
O0151,Adventure Works Analytics 151,Manufacturing,East,E0169
O0152,Northwind Services 152,Professional Services,West,E0170
O0153,Contoso Retail 153,Manufacturing,North,E0171
O0154,Fabrikam Digital 154,Professional Services,East,E0172
O0155,Adventure Works Research 155,Professional Services,North,E0173
O0156,Northwind Logistics 156,Technology,North,E0174
O0157,Contoso Analytics 157,Professional Services,North,E0175
O0158,Fabrikam Services 158,Professional Services,West,E0176
O0159,Adventure Works Retail 159,Manufacturing,West,E0177
