ProductID,ProductName,Category,Brand,ListPriceGBP,ProductStatus
P0001,Contoso Computers Model 01,Computers,Fabrikam,19.99,Discontinued
P0002,Contoso Computers Model 02,Computers,Adventure Works,31.24,Active
P0003,Contoso Computers Model 03,Computers,Fabrikam,42.49,Active
P0004,Contoso Computers Model 04,Computers,Fabrikam,53.74,Active
P0005,Contoso Computers Model 05,Computers,Contoso,64.99,Active
P0006,Contoso Computers Model 06,Computers,Contoso,76.24,Active
P0007,Contoso Computers Model 07,Computers,Contoso,87.49,Active
P0008,Contoso Computers Model 08,Computers,Adventure Works,98.74,Active
P0009,Contoso Computers Model 09,Computers,Adventure Works,109.99,Active
P0010,Contoso Computers Model 10,Computers,Adventure Works,121.24,Active
P0011,Contoso Computers Model 11,Computers,Adventure Works,132.49,Active
P0012,Contoso Computers Model 12,Computers,Fabrikam,143.74,Active
P0013,Contoso Computers Model 13,Computers,Contoso,154.99,Active
P0014,Contoso Computers Model 14,Computers,Adventure Works,166.24,Active
P0015,Contoso Computers Model 15,Computers,Adventure Works,177.49,Active
P0016,Contoso Computers Model 16,Computers,Contoso,188.74,Active
P0017,Contoso Computers Model 17,Computers,Contoso,199.99,Active
P0018,Contoso Computers Model 18,Computers,Fabrikam,211.24,Active
P0019,Contoso Computers Model 19,Computers,Fabrikam,222.49,Active
P0020,Contoso Computers Model 20,Computers,Fabrikam,233.74,Active
P0021,Contoso Computers Model 21,Computers,Fabrikam,244.99,Active
P0022,Contoso Computers Model 22,Computers,Contoso,256.24,Active
P0023,Contoso Computers Model 23,Computers,Contoso,267.49,Active
P0024,Contoso Computers Model 24,Computers,Adventure Works,278.74,Discontinued
P0025,Contoso Computers Model 25,Computers,Adventure Works,289.99,Active
P0026,Contoso Computers Model 26,Computers,Fabrikam,301.24,Active
P0027,Contoso Computers Model 27,Computers,Fabrikam,312.49,Active
P0028,Contoso Computers Model 28,Computers,Adventure Works,323.74,Active
P0029,Contoso Computers Model 29,Computers,Fabrikam,334.99,Active
P0030,Contoso Computers Model 30,Computers,Contoso,346.24,Active
P0031,Contoso Home Entertainment Model 01,Home Entertainment,Fabrikam,23.99,Active
P0032,Contoso Home Entertainment Model 02,Home Entertainment,Adventure Works,35.24,Active
P0033,Contoso Home Entertainment Model 03,Home Entertainment,Fabrikam,46.49,Active
P0034,Contoso Home Entertainment Model 04,Home Entertainment,Contoso,57.74,Active
P0035,Contoso Home Entertainment Model 05,Home Entertainment,Contoso,68.99,Active
P0036,Contoso Home Entertainment Model 06,Home Entertainment,Fabrikam,80.24,Active
P0037,Contoso Home Entertainment Model 07,Home Entertainment,Adventure Works,91.49,Active
P0038,Contoso Home Entertainment Model 08,Home Entertainment,Contoso,102.74,Active
P0039,Contoso Home Entertainment Model 09,Home Entertainment,Adventure Works,113.99,Active
P0040,Contoso Home Entertainment Model 10,Home Entertainment,Fabrikam,125.24,Active
P0041,Contoso Home Entertainment Model 11,Home Entertainment,Fabrikam,136.49,Active
P0042,Contoso Home Entertainment Model 12,Home Entertainment,Adventure Works,147.74,Active
P0043,Contoso Home Entertainment Model 13,Home Entertainment,Contoso,158.99,Active
P0044,Contoso Home Entertainment Model 14,Home Entertainment,Adventure Works,170.24,Active
P0045,Contoso Home Entertainment Model 15,Home Entertainment,Contoso,181.49,Active
P0046,Contoso Home Entertainment Model 16,Home Entertainment,Contoso,192.74,Active
P0047,Contoso Home Entertainment Model 17,Home Entertainment,Adventure Works,203.99,Discontinued
P0048,Contoso Home Entertainment Model 18,Home Entertainment,Contoso,215.24,Active
P0049,Contoso Home Entertainment Model 19,Home Entertainment,Adventure Works,226.49,Active
P0050,Contoso Home Entertainment Model 20,Home Entertainment,Adventure Works,237.74,Active
P0051,Contoso Home Entertainment Model 21,Home Entertainment,Fabrikam,248.99,Active
P0052,Contoso Home Entertainment Model 22,Home Entertainment,Adventure Works,260.24,Active
P0053,Contoso Home Entertainment Model 23,Home Entertainment,Fabrikam,271.49,Active
P0054,Contoso Home Entertainment Model 24,Home Entertainment,Contoso,282.74,Active
P0055,Contoso Home Entertainment Model 25,Home Entertainment,Adventure Works,293.99,Active
P0056,Contoso Home Entertainment Model 26,Home Entertainment,Fabrikam,305.24,Active
P0057,Contoso Home Entertainment Model 27,Home Entertainment,Adventure Works,316.49,Active
P0058,Contoso Home Entertainment Model 28,Home Entertainment,Adventure Works,327.74,Active
P0059,Contoso Home Entertainment Model 29,Home Entertainment,Contoso,338.99,Active
P0060,Contoso Home Entertainment Model 30,Home Entertainment,Fabrikam,350.24,Active
P0061,Contoso Cameras Model 01,Cameras,Contoso,27.99,Active
P0062,Contoso Cameras Model 02,Cameras,Fabrikam,39.24,Active
P0063,Contoso Cameras Model 03,Cameras,Adventure Works,50.49,Active
P0064,Contoso Cameras Model 04,Cameras,Adventure Works,61.74,Active
P0065,Contoso Cameras Model 05,Cameras,Fabrikam,72.99,Active
P0066,Contoso Cameras Model 06,Cameras,Adventure Works,84.24,Active
P0067,Contoso Cameras Model 07,Cameras,Contoso,95.49,Active
P0068,Contoso Cameras Model 08,Cameras,Contoso,106.74,Active
P0069,Contoso Cameras Model 09,Cameras,Fabrikam,117.99,Active
P0070,Contoso Cameras Model 10,Cameras,Contoso,129.24,Discontinued
P0071,Contoso Cameras Model 11,Cameras,Fabrikam,140.49,Active
P0072,Contoso Cameras Model 12,Cameras,Fabrikam,151.74,Active
P0073,Contoso Cameras Model 13,Cameras,Contoso,162.99,Active
P0074,Contoso Cameras Model 14,Cameras,Adventure Works,174.24,Active
P0075,Contoso Cameras Model 15,Cameras,Fabrikam,185.49,Active
P0076,Contoso Cameras Model 16,Cameras,Adventure Works,196.74,Active
P0077,Contoso Cameras Model 17,Cameras,Adventure Works,207.99,Active
P0078,Contoso Cameras Model 18,Cameras,Contoso,219.24,Active
P0079,Contoso Cameras Model 19,Cameras,Contoso,230.49,Active
P0080,Contoso Cameras Model 20,Cameras,Contoso,241.74,Active
P0081,Contoso Cameras Model 21,Cameras,Contoso,252.99,Active
P0082,Contoso Cameras Model 22,Cameras,Fabrikam,264.24,Active
P0083,Contoso Cameras Model 23,Cameras,Contoso,275.49,Active
P0084,Contoso Cameras Model 24,Cameras,Fabrikam,286.74,Active
P0085,Contoso Cameras Model 25,Cameras,Fabrikam,297.99,Active
P0086,Contoso Cameras Model 26,Cameras,Adventure Works,309.24,Active
P0087,Contoso Cameras Model 27,Cameras,Contoso,320.49,Active
P0088,Contoso Cameras Model 28,Cameras,Contoso,331.74,Active
P0089,Contoso Cameras Model 29,Cameras,Adventure Works,342.99,Active
P0090,Contoso Cameras Model 30,Cameras,Fabrikam,354.24,Active
P0091,Contoso Phones Model 01,Phones,Adventure Works,31.99,Active
P0092,Contoso Phones Model 02,Phones,Adventure Works,43.24,Active
P0093,Contoso Phones Model 03,Phones,Adventure Works,54.49,Discontinued
P0094,Contoso Phones Model 04,Phones,Fabrikam,65.74,Active
P0095,Contoso Phones Model 05,Phones,Adventure Works,76.99,Active
P0096,Contoso Phones Model 06,Phones,Fabrikam,88.24,Active
P0097,Contoso Phones Model 07,Phones,Fabrikam,99.49,Active
P0098,Contoso Phones Model 08,Phones,Adventure Works,110.74,Active
P0099,Contoso Phones Model 09,Phones,Fabrikam,121.99,Active
P0100,Contoso Phones Model 10,Phones,Adventure Works,133.24,Active
P0101,Contoso Phones Model 11,Phones,Contoso,144.49,Active
P0102,Contoso Phones Model 12,Phones,Fabrikam,155.74,Active
P0103,Contoso Phones Model 13,Phones,Fabrikam,166.99,Active
P0104,Contoso Phones Model 14,Phones,Adventure Works,178.24,Active
P0105,Contoso Phones Model 15,Phones,Contoso,189.49,Active
P0106,Contoso Phones Model 16,Phones,Contoso,200.74,Active
P0107,Contoso Phones Model 17,Phones,Fabrikam,211.99,Active
P0108,Contoso Phones Model 18,Phones,Fabrikam,223.24,Active
P0109,Contoso Phones Model 19,Phones,Fabrikam,234.49,Active
P0110,Contoso Phones Model 20,Phones,Fabrikam,245.74,Active
P0111,Contoso Phones Model 21,Phones,Adventure Works,256.99,Active
P0112,Contoso Phones Model 22,Phones,Adventure Works,268.24,Active
P0113,Contoso Phones Model 23,Phones,Fabrikam,279.49,Active
P0114,Contoso Phones Model 24,Phones,Adventure Works,290.74,Active
P0115,Contoso Phones Model 25,Phones,Contoso,301.99,Active
P0116,Contoso Phones Model 26,Phones,Contoso,313.24,Discontinued
P0117,Contoso Phones Model 27,Phones,Fabrikam,324.49,Active
P0118,Contoso Phones Model 28,Phones,Adventure Works,335.74,Active
P0119,Contoso Phones Model 29,Phones,Adventure Works,346.99,Active
P0120,Contoso Phones Model 30,Phones,Contoso,358.24,Active
P0121,Contoso Accessories Model 01,Accessories,Adventure Works,35.99,Active
P0122,Contoso Accessories Model 02,Accessories,Adventure Works,47.24,Active
P0123,Contoso Accessories Model 03,Accessories,Fabrikam,58.49,Active
P0124,Contoso Accessories Model 04,Accessories,Fabrikam,69.74,Active
P0125,Contoso Accessories Model 05,Accessories,Adventure Works,80.99,Active
P0126,Contoso Accessories Model 06,Accessories,Fabrikam,92.24,Active
P0127,Contoso Accessories Model 07,Accessories,Fabrikam,103.49,Active
P0128,Contoso Accessories Model 08,Accessories,Fabrikam,114.74,Active
P0129,Contoso Accessories Model 09,Accessories,Contoso,125.99,Active
P0130,Contoso Accessories Model 10,Accessories,Contoso,137.24,Active
P0131,Contoso Accessories Model 11,Accessories,Contoso,148.49,Active
P0132,Contoso Accessories Model 12,Accessories,Contoso,159.74,Active
P0133,Contoso Accessories Model 13,Accessories,Fabrikam,170.99,Active
P0134,Contoso Accessories Model 14,Accessories,Contoso,182.24,Active
P0135,Contoso Accessories Model 15,Accessories,Fabrikam,193.49,Active
P0136,Contoso Accessories Model 16,Accessories,Adventure Works,204.74,Active
P0137,Contoso Accessories Model 17,Accessories,Adventure Works,215.99,Active
