DepartmentID,Month,RequestType,ExtractBatch,NumberOfRequests
D001,2026-01-01,Delivery enquiry,B1,17
D001,2026-01-01,Delivery enquiry,B2,2
D001,2026-01-01,Product return,B1,17
D001,2026-01-01,Product return,B2,13
D001,2026-01-01,Warranty claim,B1,4
D001,2026-01-01,Warranty claim,B2,13
D001,2026-01-01,Account access,B1,11
D001,2026-01-01,Account access,B2,7
D001,2026-01-01,Technical support,B1,2
D001,2026-01-01,Technical support,B2,24
D001,2026-02-01,Delivery enquiry,B1,2
D001,2026-02-01,Delivery enquiry,B2,11
D001,2026-02-01,Product return,B1,3
D001,2026-02-01,Product return,B2,23
D001,2026-02-01,Warranty claim,B1,3
D001,2026-02-01,Warranty claim,B2,18
D001,2026-02-01,Account access,B1,22
D001,2026-02-01,Account access,B2,10
D001,2026-02-01,Technical support,B1,17
D001,2026-02-01,Technical support,B2,11
D001,2026-03-01,Delivery enquiry,B1,10
D001,2026-03-01,Delivery enquiry,B2,9
D001,2026-03-01,Product return,B1,23
D001,2026-03-01,Product return,B2,15
D001,2026-03-01,Warranty claim,B1,7
D001,2026-03-01,Warranty claim,B2,10
D001,2026-03-01,Account access,B1,7
D001,2026-03-01,Account access,B2,4
D001,2026-03-01,Technical support,B1,12
D001,2026-03-01,Technical support,B2,11
D002,2026-01-01,Delivery enquiry,B1,16
D002,2026-01-01,Delivery enquiry,B2,23
D002,2026-01-01,Product return,B1,5
D002,2026-01-01,Product return,B2,10
D002,2026-01-01,Warranty claim,B1,20
D002,2026-01-01,Warranty claim,B2,23
D002,2026-01-01,Account access,B1,19
D002,2026-01-01,Account access,B2,18
D002,2026-01-01,Technical support,B1,12
D002,2026-01-01,Technical support,B2,18
D002,2026-02-01,Delivery enquiry,B1,23
D002,2026-02-01,Delivery enquiry,B2,1
D002,2026-02-01,Product return,B1,2
D002,2026-02-01,Product return,B2,18
D002,2026-02-01,Warranty claim,B1,20
D002,2026-02-01,Warranty claim,B2,19
D002,2026-02-01,Account access,B1,5
D002,2026-02-01,Account access,B2,19
D002,2026-02-01,Technical support,B1,4
D002,2026-02-01,Technical support,B2,9
D002,2026-03-01,Delivery enquiry,B1,22
D002,2026-03-01,Delivery enquiry,B2,2
D002,2026-03-01,Product return,B1,8
D002,2026-03-01,Product return,B2,16
D002,2026-03-01,Warranty claim,B1,1
D002,2026-03-01,Warranty claim,B2,17
D002,2026-03-01,Account access,B1,17
D002,2026-03-01,Account access,B2,23
D002,2026-03-01,Technical support,B1,6
D002,2026-03-01,Technical support,B2,21
