OrderLineID,OrderID,OrderDateText,ShippedDateText,CustomerID,ProductID,DepartmentID,Region,SalesChannel,Quantity,UnitPriceGBP,DiscountPct
SL-02-00001,SO-02-00001,2026-02-18,,C01351,P0329,D059,South,Online,2,374.99,0.05
SL-02-00002,SO-02-00001,2026-02-13,2026-02-21,C00862,P0245,D103,North,Partner,4,96.99,0.05
SL-02-00003,SO-02-00002,2026-02-15,2026-02-16,C00899,P0122,D041,South,Partner,5,47.24,0.10
SL-02-00004,SO-02-00002,2026-02-15,2026-02-16,C00378,P0339,D070,North,Partner,2,153.99,0.10
SL-02-00005,SO-02-00003,2026-02-06,2026-02-08,C00686,P0004,D112,Central,Partner,1,53.74,0
SL-02-00006,SO-02-00003,2026-02-17,2026-02-20,C00652,P0192,D030,North,Online,1,167.74,0.10
SL-02-00007,SO-02-00004,2026-02-15,2026-02-17,C00583,P0217,D061,North,Partner,4,115.49,0.05
SL-02-00008,SO-02-00004,2026-02-25,2026-03-02,C00881,P0313,D018,West,Online,5,194.99,0.15
SL-02-00009,SO-02-00005,2026-02-14,2026-02-15,C00558,P0225,D025,North,Store,2,205.49,0.15
SL-02-00010,SO-02-00005,2026-02-15,2026-02-18,C00446,P0136,D107,East,Partner,1,204.74,0
SL-02-00011,SO-02-00006,2026-02-09,2026-02-10,C00727,P0194,D003,Central,Store,1,190.24,0.05
SL-02-00012,SO-02-00006,2026-02-27,2026-03-01,C00946,P0157,D083,North,Store,5,107.49,0.10
SL-02-00013,SO-02-00007,2026-02-01,2026-02-04,C00928,P0065,D009,Central,Store,5,72.99,0.10
SL-02-00014,SO-02-00007,2026-02-05,2026-02-10,C00187,P0357,D098,South,Online,1,356.49,0
SL-02-00015,SO-02-00008,2026-02-19,2026-02-23,C00148,P0342,D073,South,Store,4,187.74,0.10
SL-02-00016,SO-02-00008,2026-02-23,2026-02-24,C00433,P0186,D047,Central,Online,3,100.24,0.05
SL-02-00017,SO-02-00009,2026-02-17,2026-02-20,C00774,P0334,D024,East,Online,1,97.74,0.15
SL-02-00018,SO-02-00009,2026-02-17,2026-02-25,C00277,P0234,D036,West,Online,3,306.74,0.10
SL-02-00019,SO-02-00010,2026-02-06,2026-02-11,C00212,P0036,D066,Central,Online,1,80.24,0.05
