ProductID,OrderLineID,Region,Order Date,Quantity,CustomerID,OrderID,DepartmentID,Unit Price GBP,DiscountPct,PromoCode,ShippedDateText
P0157,SL-03-00001,South,2026-03-09,3,C01351,SO-03-00001,D030,107.49,0.15,SPRING26,
P0249,SL-03-00002,South,2026-03-10,4,C00564,SO-03-00001,D095,141.99,0.10,,2026-03-17
P0266,SL-03-00003,North,2026-03-12,3,C01000,SO-03-00002,D066,333.24,0.10,,2026-03-18
P0065,SL-03-00004,North,2026-03-22,3,C00704,SO-03-00002,D016,72.99,0,,2026-03-23
P0030,SL-03-00005,East,2026-03-26,2,C00817,SO-03-00003,D035,346.24,0.10,,2026-03-27
P0122,SL-03-00006,South,2026-03-08,4,C01014,SO-03-00003,D034,47.24,0,,2026-03-09
P0002,SL-03-00007,North,2026-03-25,2,C01052,SO-03-00004,D083,31.24,0,,2026-03-26
P0327,SL-03-00008,North,2026-03-12,4,C00528,SO-03-00004,D093,352.49,0,,2026-03-13
P0185,SL-03-00009,West,2026-03-26,4,C00645,SO-03-00005,D107,88.99,0,SPRING26,2026-04-03
P0048,SL-03-00010,West,2026-03-15,4,C00353,SO-03-00005,D072,215.24,0.05,,2026-03-18
P0148,SL-03-00011,West,2026-03-06,4,C00658,SO-03-00006,D028,339.74,0.10,,2026-03-12
P0175,SL-03-00012,West,2026-03-06,1,C00155,SO-03-00006,D027,309.99,0,,2026-03-14
P0143,SL-03-00013,West,2026-03-24,1,C00497,SO-03-00007,D067,283.49,0.10,,2026-03-26
P0343,SL-03-00014,Central,2026-03-06,2,C00355,SO-03-00007,D103,198.99,0.05,,2026-03-11
P0258,SL-03-00015,South,2026-03-27,5,C00922,SO-03-00008,D056,243.24,0.10,,2026-03-29
P0014,SL-03-00016,Central,2026-03-19,5,C00005,SO-03-00008,D102,166.24,0.10,,2026-03-20
P0273,SL-03-00017,Central,2026-03-28,3,C00340,SO-03-00009,D024,78.49,0,SPRING26,2026-03-29
P0032,SL-03-00018,West,2026-03-28,1,C00662,SO-03-00009,D047,35.24,0.05,,2026-03-30
P0092,SL-03-00019,Central,2026-03-14,3,C00353,SO-03-00010,D074,43.24,0.15,,2026-03-18
P0190,SL-03-00020,East,2026-03-15,1,C00760,SO-03-00010,D054,145.24,0,,2026-03-18
P0072,SL-03-00021,West,2026-03-24,5,C00010,SO-03-00011,D100,151.74,0.05,,2026-03-30
